epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9922,0.26716,3.15305,0.84404,0.55131,0.43457,0.44755,0.4443,0.11691,1.46499,0.76201,4.26768e-05,4.26768e-05,4.26768e-05
2,81.5961,0.15857,1.27141,0.80414,0.83946,0.7621,0.84615,0.84359,0.11948,0.5576,0.75468,8.31718e-05,8.31718e-05,8.31718e-05
3,121.523,0.16332,0.84924,0.79972,0.79016,0.82742,0.893,0.89134,0.12422,0.51032,0.75235,0.000120807,0.000120807,0.000120807
4,161.736,0.16568,0.6925,0.79855,0.88415,0.8998,0.92959,0.9264,0.13114,0.34736,0.75446,0.00011713,0.00011713,0.00011713
5,201.438,0.15339,0.59242,0.79935,0.88966,0.91215,0.95176,0.94958,0.11499,0.29484,0.75123,0.00011284,0.00011284,0.00011284
6,240.969,0.14464,0.53152,0.80077,0.87689,0.96603,0.96281,0.96008,0.10726,0.25325,0.7521,0.00010855,0.00010855,0.00010855
7,280.894,0.13856,0.47846,0.79532,0.92066,0.96113,0.98174,0.9772,0.09691,0.22429,0.7511,0.00010426,0.00010426,0.00010426
8,322.711,0.13434,0.43372,0.79679,0.95221,0.94982,0.98305,0.98262,0.09009,0.20652,0.7488,9.997e-05,9.997e-05,9.997e-05
9,362.384,0.1304,0.40173,0.7982,0.9499,0.97835,0.98989,0.98904,0.08715,0.17705,0.75085,9.568e-05,9.568e-05,9.568e-05
10,402.071,0.12766,0.36844,0.79751,0.96168,0.97474,0.98699,0.98663,0.08418,0.18171,0.74921,9.139e-05,9.139e-05,9.139e-05
11,441.151,0.12377,0.35551,0.79987,0.9826,0.97745,0.99059,0.98951,0.08253,0.16593,0.74786,8.71e-05,8.71e-05,8.71e-05
12,481.205,0.11739,0.33673,0.79796,0.97421,0.99023,0.99097,0.99045,0.0701,0.14404,0.74686,8.281e-05,8.281e-05,8.281e-05
13,520.887,0.10555,0.31542,0.79969,0.98049,0.99008,0.99083,0.99032,0.06721,0.14663,0.7458,7.852e-05,7.852e-05,7.852e-05
14,560.031,0.10816,0.28607,0.79329,0.97162,0.97664,0.99124,0.99025,0.06839,0.15074,0.74637,7.423e-05,7.423e-05,7.423e-05
15,599.08,0.10577,0.27001,0.79676,0.98393,0.98492,0.99087,0.98873,0.07253,0.13961,0.74724,6.994e-05,6.994e-05,6.994e-05
16,638.1,0.10542,0.26176,0.78986,0.97489,0.9829,0.99076,0.98851,0.07152,0.1417,0.74676,6.565e-05,6.565e-05,6.565e-05
17,677.2,0.10589,0.25714,0.79873,0.98093,0.98334,0.99054,0.98798,0.0684,0.14726,0.74589,6.136e-05,6.136e-05,6.136e-05
18,716.286,0.09879,0.25541,0.79353,0.986,0.99346,0.99123,0.99084,0.05699,0.11815,0.74398,5.707e-05,5.707e-05,5.707e-05
19,756.557,0.09211,0.23802,0.79485,0.98493,0.98892,0.99067,0.98934,0.05899,0.12325,0.74458,5.278e-05,5.278e-05,5.278e-05
20,795.704,0.09319,0.23213,0.79288,0.98665,0.99048,0.99122,0.99071,0.05356,0.11785,0.74482,4.849e-05,4.849e-05,4.849e-05
21,835.546,0.0797,0.15536,0.76739,0.98455,0.99127,0.99101,0.98928,0.06244,0.11834,0.74518,4.42e-05,4.42e-05,4.42e-05
22,875.172,0.07972,0.1355,0.76945,0.98908,0.99205,0.99133,0.99048,0.05337,0.10923,0.74422,3.991e-05,3.991e-05,3.991e-05
23,914.155,0.07684,0.13355,0.77164,0.99001,0.99425,0.99111,0.99058,0.05122,0.1041,0.74336,3.562e-05,3.562e-05,3.562e-05
24,953.113,0.073,0.12957,0.76556,0.98916,0.99365,0.99112,0.98908,0.04994,0.10201,0.74348,3.133e-05,3.133e-05,3.133e-05
25,992.149,0.06918,0.12484,0.76872,0.9884,0.9916,0.99125,0.98963,0.04952,0.10697,0.74543,2.704e-05,2.704e-05,2.704e-05
26,1031.1,0.06878,0.12213,0.76993,0.98852,0.99041,0.99136,0.9893,0.04421,0.10405,0.74418,2.275e-05,2.275e-05,2.275e-05
27,1070.14,0.06295,0.10831,0.76805,0.99085,0.99512,0.99123,0.9905,0.03958,0.092,0.74388,1.846e-05,1.846e-05,1.846e-05
28,1109.12,0.05894,0.10226,0.76868,0.99235,0.99513,0.99138,0.99057,0.0347,0.08854,0.74542,1.417e-05,1.417e-05,1.417e-05
