epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2841,0.36007,3.57582,0.88303,0.59867,0.23298,0.26331,0.25963,0.17197,1.84718,0.81499,4.26768e-05,4.26768e-05,4.26768e-05
2,54.2579,0.17252,1.75397,0.82228,0.78251,0.64126,0.75143,0.74883,0.12571,0.82593,0.78691,8.31718e-05,8.31718e-05,8.31718e-05
3,79.8752,0.1671,1.05631,0.8152,0.83541,0.81281,0.87754,0.87556,0.14406,0.57196,0.77782,0.000120807,0.000120807,0.000120807
4,108.262,0.15867,0.81445,0.81128,0.8607,0.87833,0.91914,0.91659,0.13619,0.40269,0.77987,0.00011713,0.00011713,0.00011713
5,136.151,0.14529,0.6467,0.8106,0.89959,0.90189,0.96202,0.96051,0.12095,0.32544,0.7749,0.00011284,0.00011284,0.00011284
6,163.007,0.14497,0.56551,0.8076,0.92076,0.94029,0.98648,0.98446,0.12783,0.27233,0.77536,0.00010855,0.00010855,0.00010855
7,191.649,0.13461,0.48592,0.80971,0.9498,0.9495,0.98271,0.98129,0.10845,0.22545,0.77356,0.00010426,0.00010426,0.00010426
8,219.881,0.13267,0.46757,0.80808,0.92188,0.95136,0.98494,0.9838,0.10654,0.22142,0.77203,9.997e-05,9.997e-05,9.997e-05
9,245.101,0.12616,0.4298,0.80525,0.93149,0.98584,0.98887,0.98825,0.0978,0.18685,0.76754,9.568e-05,9.568e-05,9.568e-05
10,270.611,0.12233,0.38248,0.80283,0.9512,0.96861,0.99076,0.99014,0.08506,0.17676,0.76633,9.139e-05,9.139e-05,9.139e-05
11,296.162,0.11692,0.37312,0.80354,0.97303,0.97122,0.99035,0.98935,0.0853,0.1733,0.76503,8.71e-05,8.71e-05,8.71e-05
12,321.673,0.11734,0.37324,0.8055,0.97998,0.9723,0.99101,0.99015,0.08404,0.16324,0.76485,8.281e-05,8.281e-05,8.281e-05
13,347.237,0.11327,0.34117,0.80072,0.95384,0.98761,0.99091,0.98998,0.08222,0.15752,0.76593,7.852e-05,7.852e-05,7.852e-05
14,372.486,0.10852,0.30497,0.80084,0.98108,0.9726,0.99094,0.99028,0.07819,0.15439,0.76285,7.423e-05,7.423e-05,7.423e-05
15,398.434,0.10754,0.29474,0.80058,0.97683,0.98002,0.99124,0.99037,0.07967,0.15092,0.76474,6.994e-05,6.994e-05,6.994e-05
16,426.484,0.10569,0.29978,0.79769,0.95895,0.98784,0.991,0.99004,0.07532,0.14951,0.7642,6.565e-05,6.565e-05,6.565e-05
17,455.147,0.10384,0.28129,0.79958,0.98495,0.98343,0.99127,0.99037,0.0695,0.133,0.76421,6.136e-05,6.136e-05,6.136e-05
18,481.878,0.09897,0.25922,0.79947,0.98264,0.9906,0.99153,0.99104,0.06815,0.12956,0.76165,5.707e-05,5.707e-05,5.707e-05
19,510.947,0.09308,0.25421,0.79897,0.98894,0.99319,0.99118,0.99072,0.0628,0.12054,0.76103,5.278e-05,5.278e-05,5.278e-05
20,538.638,0.0939,0.25213,0.79568,0.97408,0.98729,0.99101,0.99067,0.05966,0.12205,0.76107,4.849e-05,4.849e-05,4.849e-05
21,564.7,0.08531,0.1764,0.77327,0.98401,0.99485,0.99148,0.99113,0.07042,0.12561,0.76128,4.42e-05,4.42e-05,4.42e-05
22,590.384,0.08629,0.1627,0.77522,0.98871,0.99304,0.99142,0.99113,0.05993,0.11775,0.75946,3.991e-05,3.991e-05,3.991e-05
23,616.205,0.08414,0.1539,0.7733,0.98993,0.99393,0.99153,0.99092,0.05759,0.11058,0.76001,3.562e-05,3.562e-05,3.562e-05
24,641.353,0.07869,0.15016,0.77323,0.98995,0.99419,0.99133,0.99084,0.05654,0.10448,0.7608,3.133e-05,3.133e-05,3.133e-05
25,666.435,0.07683,0.13839,0.77183,0.98905,0.99407,0.99154,0.99104,0.0526,0.10383,0.76125,2.704e-05,2.704e-05,2.704e-05
26,691.486,0.07624,0.139,0.76976,0.99041,0.99231,0.99175,0.99128,0.05169,0.10108,0.76049,2.275e-05,2.275e-05,2.275e-05
27,716.939,0.07071,0.12847,0.77591,0.9901,0.99417,0.99192,0.99149,0.04666,0.09589,0.76019,1.846e-05,1.846e-05,1.846e-05
28,742.329,0.06714,0.12315,0.77268,0.99052,0.99346,0.99151,0.99086,0.04372,0.09028,0.75995,1.417e-05,1.417e-05,1.417e-05
29,767.498,0.06687,0.11983,0.77056,0.99161,0.99469,0.99156,0.99117,0.03917,0.08868,0.75873,9.88e-06,9.88e-06,9.88e-06
30,792.674,0.06357,0.11625,0.77227,0.99074,0.99382,0.99175,0.99129,0.03616,0.0863,0.75826,5.59e-06,5.59e-06,5.59e-06
