epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1428,0.38198,4.56985,0.85878,0.00323,0.00333,0.00209,0.00207,0.19071,4.19625,0.76051,4.26768e-05,4.26768e-05,4.26768e-05
2,19.6162,0.24055,3.79699,0.83093,0.72428,0.06625,0.08853,0.08676,0.17893,2.97444,0.80161,8.31718e-05,8.31718e-05,8.31718e-05
3,29.0309,0.23997,3.11654,0.83859,0.44297,0.27031,0.19527,0.19112,0.18747,2.17461,0.79891,0.000120807,0.000120807,0.000120807
4,38.1112,0.2218,2.57647,0.83714,0.67735,0.31748,0.29659,0.29156,0.16486,1.69536,0.7904,0.00011713,0.00011713,0.00011713
5,47.7555,0.20395,2.18211,0.8315,0.65219,0.40427,0.41888,0.41296,0.1497,1.35507,0.78482,0.00011284,0.00011284,0.00011284
6,56.9276,0.19805,1.88771,0.8301,0.6549,0.49197,0.50974,0.50689,0.13193,1.15452,0.77504,0.00010855,0.00010855,0.00010855
7,66.171,0.18222,1.6663,0.82122,0.7017,0.55112,0.61655,0.61288,0.12722,0.98642,0.77178,0.00010426,0.00010426,0.00010426
8,75.3402,0.17808,1.54581,0.82213,0.76338,0.62534,0.70381,0.69841,0.11979,0.82274,0.77093,9.997e-05,9.997e-05,9.997e-05
9,84.5503,0.16767,1.38086,0.81597,0.77233,0.67054,0.76149,0.75703,0.1119,0.75953,0.76648,9.568e-05,9.568e-05,9.568e-05
10,93.649,0.16467,1.26248,0.816,0.73293,0.75836,0.78408,0.7802,0.11768,0.69642,0.76754,9.139e-05,9.139e-05,9.139e-05
11,102.694,0.16044,1.1779,0.81432,0.79435,0.77325,0.85266,0.84788,0.10837,0.59173,0.76306,8.71e-05,8.71e-05,8.71e-05
12,111.822,0.15485,1.11161,0.81455,0.85328,0.81896,0.87103,0.86762,0.10353,0.54099,0.76176,8.281e-05,8.281e-05,8.281e-05
13,120.903,0.14972,1.0634,0.81541,0.81781,0.84459,0.89375,0.88964,0.10128,0.51202,0.76194,7.852e-05,7.852e-05,7.852e-05
14,129.969,0.14205,0.99986,0.80675,0.83422,0.85261,0.9159,0.91253,0.09736,0.49253,0.76025,7.423e-05,7.423e-05,7.423e-05
15,139.167,0.1434,0.94554,0.81247,0.86245,0.85859,0.94436,0.94141,0.09579,0.46517,0.75954,6.994e-05,6.994e-05,6.994e-05
16,148.395,0.14568,0.91727,0.80404,0.89158,0.87652,0.95846,0.9563,0.09899,0.43455,0.75855,6.565e-05,6.565e-05,6.565e-05
17,157.559,0.14153,0.85853,0.80916,0.90943,0.87694,0.96157,0.95959,0.08736,0.41647,0.75754,6.136e-05,6.136e-05,6.136e-05
18,166.598,0.13608,0.84388,0.80566,0.91286,0.90081,0.95159,0.94974,0.08896,0.3948,0.75676,5.707e-05,5.707e-05,5.707e-05
19,175.743,0.13175,0.82038,0.80832,0.90648,0.92101,0.96569,0.96269,0.08867,0.37541,0.75702,5.278e-05,5.278e-05,5.278e-05
20,184.865,0.13099,0.80968,0.80678,0.86081,0.92746,0.96875,0.96689,0.08467,0.36822,0.75684,4.849e-05,4.849e-05,4.849e-05
21,195.449,0.11563,0.74071,0.78683,0.90232,0.94043,0.97108,0.96971,0.08494,0.35673,0.75614,4.42e-05,4.42e-05,4.42e-05
22,204.532,0.10989,0.69975,0.78986,0.90756,0.96283,0.97896,0.9781,0.08295,0.32508,0.75453,3.991e-05,3.991e-05,3.991e-05
23,213.592,0.10873,0.67641,0.7886,0.89928,0.97739,0.97986,0.97839,0.07955,0.31744,0.75465,3.562e-05,3.562e-05,3.562e-05
24,222.659,0.10968,0.66312,0.78448,0.9044,0.97976,0.98134,0.98,0.08292,0.30453,0.75473,3.133e-05,3.133e-05,3.133e-05
25,231.677,0.10652,0.64225,0.78069,0.95204,0.94519,0.98274,0.98158,0.07802,0.29422,0.75444,2.704e-05,2.704e-05,2.704e-05
26,240.717,0.10365,0.63176,0.78497,0.91252,0.98014,0.98351,0.98199,0.07467,0.28664,0.75388,2.275e-05,2.275e-05,2.275e-05
27,249.774,0.09991,0.61201,0.78468,0.91307,0.9802,0.98441,0.98314,0.07329,0.27589,0.75324,1.846e-05,1.846e-05,1.846e-05
28,258.864,0.09766,0.60599,0.7828,0.92971,0.9802,0.98228,0.98094,0.07308,0.27452,0.75357,1.417e-05,1.417e-05,1.417e-05
29,267.818,0.09852,0.60058,0.78312,0.9465,0.97707,0.98466,0.98364,0.07192,0.26971,0.75329,9.88e-06,9.88e-06,9.88e-06
30,276.793,0.09622,0.59778,0.78432,0.94671,0.97693,0.98542,0.98459,0.06957,0.2681,0.7528,5.59e-06,5.59e-06,5.59e-06
