epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8091,0.79715,4.69402,1.03303,0,0,0,0,0.42518,4.24432,0.81739,4.26768e-05,4.26768e-05,4.26768e-05
2,21.9655,0.56521,3.83424,0.94408,0.77369,0.07582,0.10568,0.09833,0.36953,2.99463,0.8368,8.31718e-05,8.31718e-05,8.31718e-05
3,31.0969,0.50723,3.08476,0.92802,0.62376,0.23647,0.21288,0.19988,0.34989,2.20432,0.8407,0.000120807,0.000120807,0.000120807
4,40.1976,0.48076,2.60409,0.91965,0.62826,0.34975,0.34193,0.32599,0.32874,1.70322,0.82799,0.00011713,0.00011713,0.00011713
5,49.2552,0.45116,2.21527,0.91016,0.49832,0.55787,0.47221,0.45109,0.31294,1.43254,0.82421,0.00011284,0.00011284,0.00011284
6,58.3427,0.4443,1.96196,0.90749,0.62028,0.62528,0.56314,0.54189,0.2996,1.26977,0.81761,0.00010855,0.00010855,0.00010855
7,67.3976,0.41456,1.76164,0.89096,0.57854,0.6939,0.63853,0.61463,0.29931,1.1581,0.81796,0.00010426,0.00010426,0.00010426
8,76.4813,0.41518,1.64431,0.8906,0.62747,0.75203,0.68868,0.66373,0.28275,0.97457,0.80758,9.997e-05,9.997e-05,9.997e-05
9,85.5835,0.39797,1.52498,0.88345,0.68504,0.77344,0.71663,0.69343,0.27757,0.93864,0.80249,9.568e-05,9.568e-05,9.568e-05
10,94.7397,0.3905,1.44902,0.87788,0.67182,0.80092,0.75371,0.72838,0.27779,0.90035,0.80065,9.139e-05,9.139e-05,9.139e-05
11,103.835,0.38021,1.36246,0.87285,0.66888,0.82472,0.77754,0.75378,0.27099,0.84651,0.79932,8.71e-05,8.71e-05,8.71e-05
12,113.108,0.38331,1.33501,0.8774,0.7276,0.82007,0.77786,0.75647,0.26057,0.82555,0.79612,8.281e-05,8.281e-05,8.281e-05
13,122.387,0.37029,1.31539,0.87287,0.66075,0.85545,0.78673,0.76556,0.26282,0.80945,0.79383,7.852e-05,7.852e-05,7.852e-05
14,131.517,0.3632,1.27117,0.86265,0.70429,0.88267,0.79903,0.77627,0.26169,0.76516,0.79336,7.423e-05,7.423e-05,7.423e-05
15,140.651,0.36037,1.20147,0.86803,0.7509,0.86731,0.80469,0.77616,0.27045,0.7533,0.79353,6.994e-05,6.994e-05,6.994e-05
16,149.76,0.35131,1.18436,0.85647,0.74908,0.87448,0.81568,0.79618,0.25511,0.72474,0.791,6.565e-05,6.565e-05,6.565e-05
17,158.928,0.3473,1.13253,0.86051,0.75764,0.87723,0.81754,0.79867,0.25101,0.73005,0.78922,6.136e-05,6.136e-05,6.136e-05
18,168.099,0.3431,1.12829,0.85465,0.77024,0.88694,0.8174,0.79877,0.24823,0.72425,0.78885,5.707e-05,5.707e-05,5.707e-05
19,177.275,0.33782,1.10584,0.85747,0.71758,0.91034,0.81801,0.80055,0.25014,0.72762,0.79017,5.278e-05,5.278e-05,5.278e-05
20,186.358,0.33597,1.0937,0.85756,0.77312,0.87732,0.81846,0.80301,0.23961,0.70201,0.78709,4.849e-05,4.849e-05,4.849e-05
21,196.961,0.26788,1.06599,0.8194,0.77198,0.89202,0.82049,0.804,0.24232,0.68105,0.78495,4.42e-05,4.42e-05,4.42e-05
22,206.11,0.25522,1.02666,0.81898,0.75211,0.91529,0.8358,0.81864,0.23816,0.67062,0.78354,3.991e-05,3.991e-05,3.991e-05
23,215.036,0.24977,1.02177,0.81825,0.7733,0.8999,0.83807,0.82054,0.23924,0.67008,0.78505,3.562e-05,3.562e-05,3.562e-05
24,224.137,0.2497,1.00419,0.81136,0.77304,0.91243,0.83656,0.82204,0.23333,0.65168,0.78305,3.133e-05,3.133e-05,3.133e-05
25,233.858,0.24543,0.98769,0.8118,0.74923,0.92842,0.83626,0.82141,0.23839,0.65395,0.78333,2.704e-05,2.704e-05,2.704e-05
26,242.826,0.24221,0.97517,0.81406,0.78807,0.90813,0.83812,0.82605,0.23094,0.64129,0.78092,2.275e-05,2.275e-05,2.275e-05
27,251.836,0.24041,0.96409,0.8115,0.76134,0.93154,0.85223,0.84131,0.22672,0.63512,0.78014,1.846e-05,1.846e-05,1.846e-05
28,260.96,0.23676,0.95534,0.8106,0.77911,0.91742,0.85038,0.8391,0.22659,0.63323,0.78048,1.417e-05,1.417e-05,1.417e-05
29,270.105,0.23395,0.95066,0.80779,0.77073,0.92885,0.85229,0.84207,0.22262,0.62638,0.77986,9.88e-06,9.88e-06,9.88e-06
30,279.09,0.23416,0.93663,0.81065,0.7583,0.93887,0.848,0.83797,0.22212,0.62702,0.77951,5.59e-06,5.59e-06,5.59e-06
