epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0887,0.23703,3.00609,0.84321,0.71471,0.48362,0.55293,0.55179,0.10721,1.11737,0.76091,4.26768e-05,4.26768e-05,4.26768e-05
2,115.924,0.14541,1.15213,0.80514,0.86925,0.74893,0.90085,0.89911,0.10811,0.54668,0.75122,8.31718e-05,8.31718e-05,8.31718e-05
3,173.612,0.15517,0.79573,0.80638,0.79964,0.86622,0.93313,0.9297,0.11763,0.42976,0.75319,0.000120807,0.000120807,0.000120807
4,231.038,0.15273,0.66781,0.80314,0.8919,0.90381,0.95524,0.95102,0.11557,0.36583,0.75426,0.00011713,0.00011713,0.00011713
5,288.387,0.14355,0.55256,0.80561,0.9132,0.89811,0.96514,0.96419,0.10447,0.30912,0.74822,0.00011284,0.00011284,0.00011284
6,345.679,0.13387,0.48381,0.80219,0.90624,0.91974,0.96336,0.96049,0.10112,0.26183,0.75048,0.00010855,0.00010855,0.00010855
7,402.188,0.12634,0.4358,0.80067,0.90558,0.96042,0.97472,0.97373,0.08992,0.23012,0.74911,0.00010426,0.00010426,0.00010426
8,459.473,0.12413,0.43587,0.79862,0.95294,0.95305,0.98292,0.9814,0.07989,0.1998,0.74803,9.997e-05,9.997e-05,9.997e-05
9,516.94,0.12005,0.39464,0.8019,0.94873,0.98442,0.99034,0.98967,0.09249,0.17625,0.74859,9.568e-05,9.568e-05,9.568e-05
10,574.303,0.12007,0.35203,0.79681,0.94969,0.96828,0.98972,0.98841,0.0881,0.21482,0.74678,9.139e-05,9.139e-05,9.139e-05
11,630.822,0.11645,0.3466,0.80108,0.96417,0.96793,0.99018,0.98961,0.07349,0.15549,0.74669,8.71e-05,8.71e-05,8.71e-05
12,688.083,0.11208,0.34116,0.80035,0.93946,0.98699,0.98667,0.98551,0.06853,0.15856,0.74459,8.281e-05,8.281e-05,8.281e-05
13,744.645,0.10305,0.30544,0.80014,0.95319,0.96578,0.9895,0.98898,0.07044,0.14987,0.74393,7.852e-05,7.852e-05,7.852e-05
14,801.137,0.10204,0.27991,0.79664,0.9679,0.98418,0.99111,0.99042,0.0692,0.14399,0.74526,7.423e-05,7.423e-05,7.423e-05
15,858.532,0.1019,0.27789,0.79467,0.9708,0.97205,0.99079,0.9902,0.06548,0.14248,0.74496,6.994e-05,6.994e-05,6.994e-05
16,915.01,0.09924,0.27357,0.79383,0.98002,0.97219,0.99118,0.99061,0.06611,0.13547,0.74339,6.565e-05,6.565e-05,6.565e-05
17,972.29,0.09572,0.24421,0.79675,0.98064,0.99225,0.99119,0.99065,0.05324,0.11228,0.74169,6.136e-05,6.136e-05,6.136e-05
18,1029.62,0.08994,0.22717,0.79429,0.9697,0.99395,0.99122,0.99073,0.05249,0.10598,0.74126,5.707e-05,5.707e-05,5.707e-05
19,1086.91,0.08777,0.22528,0.79596,0.98131,0.98866,0.99117,0.99035,0.0543,0.12011,0.74184,5.278e-05,5.278e-05,5.278e-05
20,1143.58,0.0863,0.22082,0.79513,0.98828,0.99526,0.99112,0.99063,0.0559,0.10925,0.74104,4.849e-05,4.849e-05,4.849e-05
21,1201.28,0.0781,0.14587,0.77206,0.98787,0.99256,0.99151,0.99068,0.05116,0.10703,0.74088,4.42e-05,4.42e-05,4.42e-05
22,1258.52,0.07853,0.13911,0.77327,0.98736,0.99537,0.99127,0.99044,0.05313,0.1096,0.73984,3.991e-05,3.991e-05,3.991e-05
23,1315,0.07631,0.1342,0.77336,0.98563,0.99537,0.99146,0.99091,0.04578,0.10336,0.73951,3.562e-05,3.562e-05,3.562e-05
24,1372.27,0.07172,0.12949,0.76763,0.98952,0.99529,0.99154,0.99097,0.0502,0.0995,0.74104,3.133e-05,3.133e-05,3.133e-05
25,1429.58,0.07107,0.11692,0.76532,0.9859,0.99256,0.99152,0.99109,0.04147,0.09188,0.74003,2.704e-05,2.704e-05,2.704e-05
26,1487.89,0.0683,0.11539,0.77043,0.99164,0.99518,0.99159,0.99124,0.0425,0.09151,0.73977,2.275e-05,2.275e-05,2.275e-05
27,1545.27,0.06375,0.10544,0.76817,0.99026,0.99528,0.99145,0.9909,0.03678,0.08832,0.74005,1.846e-05,1.846e-05,1.846e-05
28,1601.85,0.05987,0.1033,0.77134,0.99226,0.99522,0.99146,0.99093,0.03306,0.08629,0.73903,1.417e-05,1.417e-05,1.417e-05
29,1658.51,0.0584,0.09531,0.7709,0.99236,0.99528,0.99165,0.9911,0.0314,0.08385,0.73927,9.88e-06,9.88e-06,9.88e-06
30,1715.06,0.05445,0.09301,0.76516,0.99189,0.99507,0.99159,0.991,0.02804,0.08001,0.73873,5.59e-06,5.59e-06,5.59e-06
