epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6606,0.50666,4.35494,0.9116,0.36906,0.14248,0.09408,0.09273,0.18559,2.80308,0.79874,4.26768e-05,4.26768e-05,4.26768e-05
2,31.5231,0.20758,2.40138,0.83079,0.69986,0.37267,0.42546,0.41895,0.13398,1.37217,0.78225,8.31718e-05,8.31718e-05,8.31718e-05
3,46.0913,0.18268,1.5814,0.81312,0.63124,0.63389,0.64641,0.64058,0.13257,0.89376,0.77216,0.000120807,0.000120807,0.000120807
4,60.4075,0.17356,1.16269,0.80886,0.75149,0.77327,0.84924,0.84436,0.12413,0.56554,0.76776,0.00011713,0.00011713,0.00011713
5,74.6523,0.16057,0.9054,0.80823,0.79839,0.8461,0.8971,0.89192,0.11162,0.4529,0.76481,0.00011284,0.00011284,0.00011284
6,88.8394,0.15556,0.75708,0.8062,0.85262,0.87891,0.94435,0.94067,0.10663,0.35602,0.76219,0.00010855,0.00010855,0.00010855
7,103.074,0.15031,0.66255,0.80444,0.90364,0.90344,0.94969,0.94733,0.09715,0.30458,0.76062,0.00010426,0.00010426,0.00010426
8,117.205,0.14166,0.59931,0.80335,0.92339,0.92732,0.98182,0.97888,0.09133,0.26673,0.75956,9.997e-05,9.997e-05,9.997e-05
9,131.366,0.13671,0.54798,0.80137,0.93185,0.95181,0.97117,0.96983,0.0897,0.2369,0.75806,9.568e-05,9.568e-05,9.568e-05
10,146.036,0.13218,0.48015,0.80232,0.96202,0.93712,0.98268,0.9812,0.07921,0.20977,0.75675,9.139e-05,9.139e-05,9.139e-05
11,160.281,0.12752,0.45984,0.80175,0.95392,0.96947,0.99047,0.98981,0.0801,0.19168,0.75643,8.71e-05,8.71e-05,8.71e-05
12,174.589,0.12548,0.45874,0.80251,0.94937,0.9869,0.98973,0.98891,0.07509,0.18335,0.75591,8.281e-05,8.281e-05,8.281e-05
13,188.634,0.12024,0.42762,0.80235,0.94986,0.98232,0.98963,0.98893,0.07776,0.17949,0.75644,7.852e-05,7.852e-05,7.852e-05
14,202.651,0.11878,0.38163,0.79694,0.95637,0.97922,0.99025,0.98942,0.07505,0.16758,0.75469,7.423e-05,7.423e-05,7.423e-05
15,216.673,0.11564,0.36351,0.79884,0.96186,0.98097,0.99051,0.98982,0.07473,0.16394,0.75608,6.994e-05,6.994e-05,6.994e-05
16,230.844,0.11506,0.36033,0.79493,0.96609,0.98984,0.99026,0.98947,0.07096,0.16125,0.75557,6.565e-05,6.565e-05,6.565e-05
17,244.899,0.11261,0.33481,0.79903,0.9775,0.98611,0.99068,0.98991,0.06576,0.14666,0.75489,6.136e-05,6.136e-05,6.136e-05
18,259.102,0.10856,0.32078,0.79552,0.96584,0.9911,0.99078,0.99004,0.06309,0.1387,0.75491,5.707e-05,5.707e-05,5.707e-05
19,273.25,0.10528,0.31533,0.79837,0.98221,0.98609,0.99111,0.99041,0.06258,0.13798,0.75512,5.278e-05,5.278e-05,5.278e-05
20,287.363,0.10294,0.30646,0.79823,0.9812,0.98338,0.99028,0.98941,0.05849,0.1317,0.75441,4.849e-05,4.849e-05,4.849e-05
21,302.674,0.09101,0.21285,0.77139,0.97491,0.99128,0.99113,0.99054,0.0577,0.1311,0.75319,4.42e-05,4.42e-05,4.42e-05
22,316.948,0.08943,0.20633,0.77618,0.98113,0.99148,0.99089,0.99009,0.0604,0.1327,0.75332,3.991e-05,3.991e-05,3.991e-05
23,331.338,0.08544,0.1911,0.77608,0.98697,0.99105,0.99098,0.99029,0.05399,0.11804,0.75303,3.562e-05,3.562e-05,3.562e-05
24,345.359,0.08463,0.18455,0.77169,0.9879,0.98712,0.99113,0.99025,0.06112,0.12534,0.75341,3.133e-05,3.133e-05,3.133e-05
25,359.338,0.08254,0.17604,0.7695,0.98283,0.98481,0.99121,0.99059,0.0516,0.1188,0.75284,2.704e-05,2.704e-05,2.704e-05
26,373.466,0.08291,0.16922,0.76981,0.9895,0.98382,0.9912,0.99064,0.05101,0.11723,0.75292,2.275e-05,2.275e-05,2.275e-05
27,387.623,0.07732,0.15982,0.77366,0.98696,0.9903,0.99097,0.99039,0.05052,0.11573,0.75283,1.846e-05,1.846e-05,1.846e-05
28,401.599,0.07461,0.15596,0.77365,0.98873,0.98868,0.99105,0.99053,0.04649,0.10941,0.7523,1.417e-05,1.417e-05,1.417e-05
29,415.605,0.07455,0.1513,0.77281,0.98669,0.99153,0.99104,0.99053,0.04496,0.10707,0.75192,9.88e-06,9.88e-06,9.88e-06
30,429.593,0.07135,0.15007,0.77072,0.98824,0.98979,0.99106,0.99057,0.04272,0.10597,0.75181,5.59e-06,5.59e-06,5.59e-06
