epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8422,0.97021,4.86059,1.16592,0.58971,0.14501,0.13882,0.12741,0.44317,2.83776,0.86089,4.26768e-05,4.26768e-05,4.26768e-05
2,30.7781,0.53716,2.38246,0.94577,0.59884,0.53421,0.50115,0.47548,0.34218,1.27419,0.81502,8.31718e-05,8.31718e-05,8.31718e-05
3,45.3959,0.44972,1.58046,0.89004,0.64325,0.73588,0.69145,0.66052,0.30788,0.95225,0.80223,0.000120807,0.000120807,0.000120807
4,59.8884,0.42021,1.28305,0.88011,0.71549,0.82735,0.79568,0.7665,0.29132,0.74983,0.79657,0.00011713,0.00011713,0.00011713
5,74.4158,0.38645,1.08835,0.8723,0.69161,0.91149,0.82251,0.79792,0.27982,0.71366,0.79363,0.00011284,0.00011284,0.00011284
6,88.7004,0.38563,1.00352,0.8692,0.73174,0.88014,0.83753,0.81249,0.2781,0.68578,0.79247,0.00010855,0.00010855,0.00010855
7,103.967,0.36709,0.91789,0.86319,0.7593,0.92248,0.84146,0.81888,0.26058,0.61465,0.7889,0.00010426,0.00010426,0.00010426
8,118.728,0.36888,0.84741,0.86051,0.72955,0.99086,0.85532,0.83456,0.25484,0.57264,0.78784,9.997e-05,9.997e-05,9.997e-05
9,133.747,0.35493,0.80764,0.85932,0.76427,0.95998,0.8579,0.84067,0.24898,0.54633,0.78688,9.568e-05,9.568e-05,9.568e-05
10,148.086,0.34793,0.78421,0.8585,0.75141,0.96955,0.85386,0.83595,0.24038,0.56139,0.78387,9.139e-05,9.139e-05,9.139e-05
11,162.25,0.34485,0.74361,0.85585,0.76832,0.96512,0.86107,0.84469,0.24348,0.53568,0.78451,8.71e-05,8.71e-05,8.71e-05
12,176.766,0.34477,0.74285,0.8618,0.76774,0.97776,0.86145,0.84768,0.23226,0.52738,0.78136,8.281e-05,8.281e-05,8.281e-05
13,191.12,0.3291,0.72964,0.85595,0.75801,0.98661,0.86828,0.85222,0.23748,0.53125,0.78166,7.852e-05,7.852e-05,7.852e-05
14,205.414,0.31862,0.70959,0.84953,0.76714,0.9694,0.858,0.84429,0.22952,0.51296,0.78035,7.423e-05,7.423e-05,7.423e-05
15,219.549,0.32367,0.66583,0.85175,0.76158,0.98359,0.85396,0.84039,0.23013,0.51128,0.78285,6.994e-05,6.994e-05,6.994e-05
16,233.649,0.30848,0.66062,0.84045,0.76306,0.96851,0.85222,0.83991,0.22971,0.50886,0.78152,6.565e-05,6.565e-05,6.565e-05
17,247.846,0.30964,0.63338,0.84497,0.77258,0.9792,0.85833,0.84587,0.22536,0.49331,0.78056,6.136e-05,6.136e-05,6.136e-05
18,261.946,0.30547,0.62261,0.8436,0.76596,0.98508,0.85646,0.84519,0.21937,0.50287,0.77932,5.707e-05,5.707e-05,5.707e-05
19,276.094,0.30068,0.62101,0.84486,0.76595,0.97617,0.85372,0.84353,0.21335,0.4939,0.77829,5.278e-05,5.278e-05,5.278e-05
20,290.181,0.29453,0.59967,0.84179,0.76855,0.98142,0.85124,0.83943,0.22118,0.49214,0.77971,4.849e-05,4.849e-05,4.849e-05
21,305.805,0.23324,0.53745,0.79993,0.76938,0.98507,0.8574,0.8482,0.2135,0.47804,0.77681,4.42e-05,4.42e-05,4.42e-05
22,320.475,0.22476,0.52492,0.80491,0.75956,0.99017,0.85985,0.85172,0.20946,0.47745,0.77597,3.991e-05,3.991e-05,3.991e-05
23,334.659,0.21686,0.51688,0.79938,0.7659,0.98192,0.85929,0.84957,0.20696,0.48305,0.77533,3.562e-05,3.562e-05,3.562e-05
